ageGroup,ageGroupIdFk,athleteCountryCode,athleteIdFk,bestRecord,bibNumber,combinedEventScoreCalculated,firstName,gender,groupNo,imgVariants,initialPb,initialPbImperial,initialSb,initialSbImperial,laneRow,laneStacked,lastName,position,price,promotion,relayTeamNational,s3ImgUuid,seImplementIdFk,seedingPromotion,startStatus,eventIdFk,event,nameAndEvent
Senior,23,SWE,4552,None,,,Armand,Male,0,1,620,24400,620,24400,1,,Duplantis,28,$9320000,N,,4552_1657007822499,41,N,Ok,42,Pole Vault,Armand Duplantis (Pole Vault)
Senior,23,UGA,1588,None,,,Joshua,Male,0,1,15710000,15710000,,,1,,Cheptegei,21,$7930000,N,,1588_1621852944510,28,N,Ok,23,10000m,Joshua Cheptegei (10000m)
Senior,23,VEN,2679,None,,,Yulimar,Female,0,1,1574,61950,1574,61950,1,,Rojas,29,$7890000,N,,2679_1562963697076,189,N,Ok,43,Triple Jump,Yulimar Rojas (Triple Jump)
Senior,23,KEN,8451,None,,,Nicholas,Male,0,1,7663300,7663300,7663300,7663300,1,,Kimeli,27,$7880000,N,,8451_1655283596846,27,N,Ok,22,5000m,Nicholas Kimeli (5000m)
Senior,23,KEN,22508,None,,,Ruth,Female,0,,82280000,82280000,82380000,82380000,1,,Chepngetich,29,$7860000,N,,,178,N,Ok,25,Marathon,Ruth Chepngetich (Marathon)
Senior,23,KEN,29693,None,,,Peres,Female,0,,82360000,82360000,,,1,,Jepchirchir,30,$7850000,N,,,178,N,Ok,25,Marathon,Peres Jepchirchir (Marathon)
Senior,23,KEN,22380,None,,,Jacob,Male,0,1,7667900,7667900,7667900,7667900,1,,Krop,28,$7800000,N,,22380_1655283569553,27,N,Ok,22,5000m,Jacob Krop (5000m)
Senior,23,USA,51155,None,,,Valarie,Female,0,1,7146,281325,7146,281325,1,,Allman,28,$7790000,N,,51155_1640933844237,210,N,Ok,52,Discus Throw,Valarie Allman (Discus Throw)
Senior,23,SWE,3559,None,,,Daniel,Male,0,1,7186,282900,7147,281375,1,,Ståhl,28,$7760000,N,,3559_1655281257065,63,N,Ok,52,Discus Throw,Daniel Ståhl (Discus Throw)
Senior,23,USA,49541,None,,,Erriyon,Male,0,,194900,194900,194900,194900,1,,Knighton,52,$7750000,N,,,2,N,Ok,2,200m,Erriyon Knighton (200m)
Senior,23,MAR,2408,None,,,Soufiane,Male,0,1,4781500,4781500,4782800,4782800,1,,El Bakkali,34,$7620000,N,,2408_1624521059706,29,N,Ok,24,3000m Steeplechase,Soufiane El Bakkali (3000m Steeplechase)
Senior,23,USA,74627,None,,,Sydney,Female,0,1,514100,514100,514100,514100,1,,McLaughlin,37,$7610000,N,,74627_1654502086348,159,N,Ok,6,400m Hurdles,Sydney McLaughlin (400m Hurdles)
Senior,23,ETH,21232,None,,,Lamecha,Male,0,,4786800,4786800,4786800,4786800,1,,Girma,17,$7530000,N,,,29,N,Ok,24,3000m Steeplechase,Lamecha Girma (3000m Steeplechase)
Senior,23,ETH,11080,None,,,Ejgayehu,Female,0,,8529800,8529800,8529800,8529800,1,,Taye,10,$7530000,N,,,175,N,Ok,22,5000m,Ejgayehu Taye (5000m)
Senior,23,USA,3913,None,,,Fred,Male,0,1,97600,97600,97600,97600,1,,Kerley,76,$7500000,N,,3913_1655282868237,1,N,Ok,1,100m,Fred Kerley (100m)
Senior,23,NOR,2874,None,,,Karsten,Male,0,1,459400,459400,,,1,,Warholm,29,$7500000,N,,2874_1528107282255,10,N,Ok,6,400m Hurdles,Karsten Warholm (400m Hurdles)
Senior,23,JAM,2583,None,,,Shericka,Female,0,1,215500,215500,215500,215500,1,,Jackson,32,$7400000,N,,2583_1498488818672,154,N,Ok,2,200m,Shericka Jackson (200m)
Senior,23,KEN,14860,None,,,Lawrence,Male,0,,73840000,73840000,,,1,,Cherono,40,$7390000,N,,,30,N,Ok,25,Marathon,Lawrence Cherono (Marathon)
Senior,23,SLO,11323,None,,,Kristjan,Male,0,1,7127,280575,7127,280575,1,,Čeh,26,$7320000,N,,11323_1653392007076,63,N,Ok,52,Discus Throw,Kristjan Čeh (Discus Throw)
Senior,23,GER,51,None,,,Malaika,Female,0,1,730,28725,709,27900,1,,Mihambo,13,$7320000,N,,51_1615285692220,187,N,Ok,41,Long Jump,Malaika Mihambo (Long Jump)
Senior,23,ETH,22610,None,,,Ashete,Female,0,,82780000,82780000,82780000,82780000,1,,Bekere,14,$7310000,N,,,178,N,Ok,25,Marathon,Ashete Bekere (Marathon)
Senior,23,GRN,8313,None,,,Anderson,Male,0,1,9307,366400,9307,366400,1,,Peters,13,$7280000,N,,8313_1621787203807,72,N,Ok,53,Javelin Throw,Anderson Peters (Javelin Throw)
Senior,23,NED,378,None,,,Sifan,Female,0,1,17468200,17468200,,,1,,Hassan,18,$7250000,N,,378_1624521573306,176,N,Ok,23,10000m,Sifan Hassan (10000m)
