athleteCountryCode,nameAndEvent,price
KEN,Ruth Chepngetich (Marathon),$7860000
KEN,Peres Jepchirchir (Marathon),$7850000
ETH,Ejgayehu Taye (5000m),$7530000
ETH,Ashete Bekere (Marathon),$7310000
NED,Sifan Hassan (10000m),$7250000
NED,Sifan Hassan (1500m),$7130000
ETH,Gotytom Gebreslase (Marathon),$7060000
KEN,Faith Kipyegon (1500m),$7060000
BRN,Winfred Yavi (3000m Steeplechase),$7040000
KAZ,Norah Jeruto (3000m Steeplechase),$7020000
ISR,Lonah Chemtai Salpeter (Marathon),$6950000
KEN,Angela Tanui (Marathon),$6940000
ETH,Letesenbet Gidey (5000m),$6860000
CHN,Shijie Qieyang (35K Racewalk),$6840000
PER,Kimberly García León (35K Racewalk),$6800000
CHN,Hong Liu (20K Racewalk),$6790000
NED,Sifan Hassan (5000m),$6570000
ETH,Gudaf Tsegay (5000m),$6510000
USA,Keira D'amato (Marathon),$6440000
ETH,Gudaf Tsegay (1500m),$6390000
USA,Athing Mu (800m),$6350000
CHN,Maocuo Li (35K Racewalk),$6340000
JPN,Serena Sonoda (35K Racewalk),$6330000
BDI,Francine Niyonsaba (5000m),$6260000
ETH,Dawit Seyaum (5000m),$6210000
ETH,Mekides Abebe (3000m Steeplechase),$6120000
USA,Ajeé Wilson (800m),$6100000
KEN,Judith Jeptum Korir (Marathon),$6060000
GBR,Keely Hodgkinson (800m),$6060000
GRE,Antigoni Ntrismpioti (35K Racewalk),$5990000
GBR,Eilish McColgan (5000m),$5960000
UGA,Peruth Chemutai (3000m Steeplechase),$5950000
ESP,Laura García-Caro (35K Racewalk),$5940000
BRN,Eunice Chumba (Marathon),$5910000
ECU,Paola Pérez (35K Racewalk),$5880000
ECU,Glenda Morejón (35K Racewalk),$5860000
ECU,Magaly Bonilla (35K Racewalk),$5820000
BRA,Viviane Lyra (35K Racewalk),$5750000
NOR,Karoline Grøvdal (5000m),$5740000
POL,Katarzyna Zdziebło (35K Racewalk),$5690000
CHN,Lamei Yin (35K Racewalk),$5680000
KEN,Celliphine Chespol (3000m Steeplechase),$5640000
KEN,Mary Moraa (800m),$5600000
USA,Elise Cranny (5000m),$5560000
ETH,Werkuha Getachew (3000m Steeplechase),$5520000
USA,Raevyn Rogers (800m),$5490000
USA,Emma Coburn (3000m Steeplechase),$5480000
GER,Konstanze Klosterhalfen (5000m),$5450000
ETH,Ababel Yeshaneh (Marathon),$5440000
JPN,Mao Ichiyama (Marathon),$5430000
JPN,Mizuki Matsuda (Marathon),$5430000
JAM,Natoya Goule (800m),$5390000
ETH,Sembo Almayew (3000m Steeplechase),$5350000
PER,Evelyn Inga (35K Racewalk),$5330000
UKR,Nadiya Borovska (35K Racewalk),$5320000
GUA,Mirna Ortíz (35K Racewalk),$5300000
POR,Inês Henriques (35K Racewalk),$5300000
CUB,Rose Almanza (800m),$5300000
ERI,Rahel Daniel (5000m),$5280000
ETH,Hirut Meshesha (1500m),$5270000
GBR,Jemma Reekie (800m),$5260000
CHN,Li Ma (35K Racewalk),$5210000
JPN,Hitomi Niiya (Marathon),$5200000
USA,Courtney Frerichs (3000m Steeplechase),$5190000
ETH,Freweyni Hailu (1500m),$5180000
MEX,Alejandra Ortega (35K Racewalk),$5170000
GUA,Yasury Palacios (35K Racewalk),$5160000
USA,Allie Wilson (800m),$5130000
ETH,Haven Hailu Desse (Marathon),$5090000
ETH,Diribe Welteji (800m),$5070000
FRA,Rénelle Lamote (800m),$5040000
USA,Courtney Wayment (3000m Steeplechase),$5030000
MEX,Nadia Lizeth Gonzalez Monjarrez (35K Racewalk),$5000000
AUS,Catriona Bisset (800m),$4990000
RSA,Prudence Sekgodiso (800m),$4990000
UGA,Halimah Nakaayi (800m),$4990000
KAZ,Daisy Jepkemei (3000m Steeplechase),$4930000
ETH,Hirut Meshesha (800m),$4910000
ETH,Letesenbet Gidey (10000m),$4910000
ERI,Nazret Weldu (Marathon),$4870000
ETH,Axumawit Embaye (1500m),$4840000
USA,Sinclaire Johnson (1500m),$4820000
