athleteCountryCode,nameAndEvent,price
UGA,Joshua Cheptegei (10000m),$7930000
KEN,Nicholas Kimeli (5000m),$7880000
KEN,Jacob Krop (5000m),$7800000
MAR,Soufiane El Bakkali (3000m Steeplechase),$7620000
ETH,Lamecha Girma (3000m Steeplechase),$7530000
KEN,Lawrence Cherono (Marathon),$7390000
ETH,Berihu Aregawi (5000m),$7220000
ETH,Yomif Kejelcha (5000m),$7140000
UGA,Joshua Cheptegei (5000m),$7020000
ETH,Selemon Barega (5000m),$7000000
JPN,Masatora Kawano (35K Racewalk),$6990000
KEN,Wycliffe Kinyamal Kisasy (800m),$6810000
JPN,Daisuke Matsunaga (35K Racewalk),$6790000
JPN,Tomohiro Noda (35K Racewalk),$6730000
CAN,Marco Arop (800m),$6700000
CAN,Mohammed Ahmed (5000m),$6690000
GBR,Max Burgin (800m),$6680000
USA,Grant Fisher (5000m),$6610000
ETH,Tamirat Tola (Marathon),$6540000
ESP,Miguel López (35K Racewalk),$6500000
MAR,Moad Zahafi (800m),$6470000
ALG,Djamel Sedjati (800m),$6470000
ETH,Mosinet Geremew (Marathon),$6450000
NOR,Jakob Ingebrigtsen (1500m),$6430000
FRA,Benjamin Robert (800m),$6400000
ETH,Telahun Bekele (5000m),$6270000
BRN,Birhanu Balew (5000m),$6220000
KEN,Emmanuel Wanyonyi (800m),$6180000
FRA,Pierre-Ambroise Bosse (800m),$6170000
KEN,Conseslus Kipruto (3000m Steeplechase),$6150000
BOT,Nijel Amos (800m),$6140000
ERI,Hiskel Tewelde (Marathon),$6140000
ETH,Getnet Wale (3000m Steeplechase),$6130000
ETH,Hailemariyam Amare (3000m Steeplechase),$6130000
KEN,Abraham Kibiwot (3000m Steeplechase),$6110000
AUS,Peter Bol (800m),$6100000
GBR,Marc Scott (5000m),$6100000
ETH,Muktar Edris (5000m),$6040000
KEN,Abel Kipsang (1500m),$6040000
ALG,Yassine Hathat (800m),$6030000
ITA,Massimo Stano (35K Racewalk),$6020000
ETH,Lelisa Desisa (Marathon),$6010000
USA,Grant Fisher (10000m),$6000000
UGA,Jacob Kiplimo (10000m),$6000000
NOR,Jakob Ingebrigtsen (5000m),$5980000
CAN,Mohammed Ahmed (10000m),$5980000
NED,Tony van Diepen (800m),$5940000
BEL,Bashir Abdi (Marathon),$5940000
BRA,Daniel do Nascimento (Marathon),$5940000
MEX,José Luis Doctor (35K Racewalk),$5930000
USA,Bryce Hoppel (800m),$5890000
ALG,Slimane Moula (800m),$5890000
TAN,Gabriel Geay (Marathon),$5890000
NED,Abdi Nageeye (Marathon),$5880000
CHN,Xianghong He (35K Racewalk),$5870000
ETH,Seifu Tura (Marathon),$5860000
FRA,Gabriel Tual (800m),$5840000
POL,Patryk Dobek (800m),$5810000
ETH,Deso Gelmisa (Marathon),$5800000
GER,Christopher Linke (35K Racewalk),$5730000
FRA,Aurélien Quinion (35K Racewalk),$5720000
ETH,Ermias Girma (800m),$5700000
MEX,Ricardo Ortiz (35K Racewalk),$5680000
JPN,Kengo Suzuki (Marathon),$5610000
KEN,Geoffrey Kamworor (Marathon),$5560000
USA,Clayton Murphy (800m),$5510000
ERI,Goitom Kifle (Marathon),$5510000
AUS,Joseph Deng (800m),$5500000
ITA,Ahmed Abdelwahed (3000m Steeplechase),$5500000
SWE,Andreas Kramer (800m),$5490000
CAN,Brandon McBride (800m),$5480000
RSA,Tshepo Tshite (800m),$5460000
COL,José Montaña (35K Racewalk),$5460000
GBR,Jake Wightman (1500m),$5450000
GBR,Kyle Langford (800m),$5440000
GBR,Josh Kerr (1500m),$5430000
AUS,Oliver Hoare (1500m),$5430000
MEX,Jesús López (800m),$5400000
USA,Hillary Bor (3000m Steeplechase),$5390000
GER,Carl Dohmann (35K Racewalk),$5390000
KEN,Leonard Bett (3000m Steeplechase),$5360000
ESP,Adrián Ben (800m),$5340000
CHN,Yangben Zhaxi (35K Racewalk),$5340000
MEX,Ever Jair Palma Olivares (35K Racewalk),$5340000
KEN,Emmanuel Korir (800m),$5330000
USA,Jonah Koech (800m),$5300000
GER,Mohamed Mohumed (5000m),$5280000
USA,William Kincaid (5000m),$5260000
ETH,Selemon Barega (10000m),$5260000
ECU,Andrés Chocho (35K Racewalk),$5260000
FIN,Aleksi Ojala (35K Racewalk),$5260000
POL,Mateusz Borkowski (800m),$5250000
GUA,Érick Barrondo (35K Racewalk),$5250000
BRA,Thiago André (800m),$5230000
JPN,Koki Ikeda (20K Racewalk),$5230000
GBR,Sam Atkin (5000m),$5220000
USA,Evan Jager (3000m Steeplechase),$5220000
ETH,Samuel Tefera (1500m),$5210000
ESP,Álvaro de Arriba (800m),$5200000
IND,Avinash Sable (3000m Steeplechase),$5190000
GER,Karl Junghannss (35K Racewalk),$5190000
ETH,Tadese Worku (10000m),$5180000
ETH,Berihu Aregawi (10000m),$5170000
KEN,Noah Kibet (800m),$5160000
GBR,Elliot Giles (800m),$5160000
ETH,Tolesa Bodena (800m),$5150000
CHN,Hao Xu (35K Racewalk),$5140000
GHA,Alex Amankwa (800m),$5130000
ERI,Merhawi Mebrahtu (5000m),$5120000
JPN,Ryuji Miura (3000m Steeplechase),$5100000
ITA,Cătălin Tecuceanu (800m),$5090000
MAR,Elhassane Moujahid (800m),$5090000
USA,Galen Rupp (Marathon),$5080000
JPN,Eiki Takahashi (20K Racewalk),$5070000
TUN,Abdessalem Ayouni (800m),$5060000
JAM,Navasky Anderson (800m),$5030000
COL,Éider Arévalo (35K Racewalk),$5030000
KEN,Benjamin Kigen (3000m Steeplechase),$5020000
USA,Brandon Miller (800m),$5000000
ETH,Abrham Sime (3000m Steeplechase),$4970000
KEN,Timothy Cheruiyot (1500m),$4950000
ESP,Mariano García (800m),$4940000
AUS,Jack Rayner (5000m),$4940000
ESP,Daniel Arce (3000m Steeplechase),$4940000
MAR,Abdellatif El Guesse (800m),$4930000
POL,Patryk Sieradzki (800m),$4930000
ESP,Adel Mechaal (5000m),$4930000
GBR,Daniel Rowden (800m),$4920000
KEN,Daniel Ebenyo (5000m),$4910000
USA,Abdihamid Nur (5000m),$4900000
ECU,Brian Daniel Pintado (35K Racewalk),$4880000
ESP,Daniel Chamosa (35K Racewalk),$4860000
ESP,Álvaro Lopez (35K Racewalk),$4860000
USA,Donavan Brazier (800m),$4820000
FRA,Mehdi Belhadj (3000m Steeplechase),$4820000
RSA,Wayne Snyman (35K Racewalk),$4820000
KEN,Barnabas Kiptum (Marathon),$4800000
ETH,Teddese Lemi (1500m),$4780000
UGA,Peter Maru (5000m),$4770000
GER,Frederik Ruppert (3000m Steeplechase),$4770000
ESP,Mohamed Katir (1500m),$4770000
BRA,Caio Bonfim (20K Racewalk),$4740000
