athleteCountryCode,nameAndEvent,price
VEN,Yulimar Rojas (Triple Jump),$7890000
GER,Malaika Mihambo (Long Jump),$7320000
SRB,Ivana Vuleta (Long Jump),$6930000
UKR,Yaroslava Mahuchikh (High Jump),$6840000
NGR,Ese Brume (Long Jump),$5860000
USA,Sandi Morris (Pole Vault),$5840000
USA,Monae' Nichols (Long Jump),$5650000
USA,Katie Nageotte (Pole Vault),$5540000
SWE,Khaddi Sagnia (Long Jump),$5500000
SLO,Tina Šutej (Pole Vault),$5100000
GHA,Deborah Acquah (Long Jump),$5050000
UKR,Maryna Bekh-Romanchuk (Long Jump),$5050000
GBR,Lorraine Ugen (Long Jump),$5040000
AUS,Eleanor Patterson (High Jump),$4940000
CAN,Christabel Nettey (Long Jump),$4820000
USA,Emily Grove (Pole Vault),$4650000
ITA,Elena Vallortigara (High Jump),$4620000
USA,Vashti Cunningham (High Jump),$4620000
USA,Quanesha Burks (Long Jump),$4620000
USA,Jasmine Moore (Long Jump),$4590000
CAN,Alysha Newman (Pole Vault),$4530000
AUS,Nina Kennedy (Pole Vault),$4530000
SRB,Milica Gardašević (Long Jump),$4510000
GRE,Aikaterini Stefanid (Pole Vault),$4470000
KAZ,Nadezhda Dubovitskaya (High Jump),$4400000
CHN,Ling Li (Pole Vault),$4400000
NGR,Ruth Usoro (Long Jump),$4400000
CYP,Filippa Fotopoulou (Long Jump),$4380000
USA,Tiffany Flynn (Long Jump),$4360000
ITA,Roberta Bruni (Pole Vault),$4320000
ESP,Fátima Diame (Long Jump),$4310000
UKR,Iryna Gerashchenko (High Jump),$4290000
TTO,Tyra Gittens (Long Jump),$4270000
FRA,Margot Chevrier (Pole Vault),$4240000
GBR,Holly Bradshaw (Pole Vault),$4170000
SUI,Angelica Moser (Pole Vault),$4140000
AUS,Nicola Olyslagers (High Jump),$4110000
AUS,Brooke Buschkuehl (Long Jump),$4100000
POR,Evelise Veiga (Long Jump),$4090000
USA,Keturah Orji (Triple Jump),$4040000
CHN,Huiqin Xu (Pole Vault),$3980000
ITA,Larissa Iapichino (Long Jump),$3980000
AUS,Samantha Dale (Long Jump),$3970000
GER,Maryse Luzolo (Long Jump),$3920000
UKR,Yuliya Levchenko (High Jump),$3880000
GBR,Jazmin Sawyers (Long Jump),$3880000
