athleteCountryCode,nameAndEvent,price
SWE,Armand Duplantis (Pole Vault),$9320000
GRE,Miltiadis Tentoglou (Long Jump),$7060000
KOR,Sang-Hyeok Woo (High Jump),$7020000
USA,Christopher Nilsen (Pole Vault),$6720000
QAT,Mutaz Barshim (High Jump),$6120000
ITA,Gianmarco Tamberi (High Jump),$5920000
USA,JuVaughn Harrison (High Jump),$5840000
SUI,Simon Ehammer (Long Jump),$5810000
USA,Shelby McEwen (High Jump),$5770000
UKR,Andriy Protsenko (High Jump),$5770000
POR,Pedro Pichardo (Triple Jump),$5760000
BRA,Thiago Braz (Pole Vault),$5690000
CUB,Lázaro Martínez (Triple Jump),$5630000
USA,Vernon Turner (High Jump),$5510000
SUI,Loïc Gasch (High Jump),$5260000
GER,Mateusz Przybylko (High Jump),$5230000
FRA,Renaud Lavillenie (Pole Vault),$5160000
SWE,Thobias Montler (Long Jump),$5160000
NED,Menno Vloon (Pole Vault),$5110000
PHI,Ernest Obiena (Pole Vault),$5090000
NZL,Hamish Kerr (High Jump),$5060000
BRA,Thiago Moura (High Jump),$5060000
CUB,Luis Enrique Zayas (High Jump),$5030000
IND,Murali Sreeshankar (Long Jump),$4990000
BUR,Hugues Fabrice Zango (Triple Jump),$4990000
USA,Will Claye (Triple Jump),$4900000
GER,Bo Lita Baehre (Pole Vault),$4840000
JPN,Tomohiro Shinno (High Jump),$4830000
GER,Tobias Potye (High Jump),$4740000
ISR,Yonathan Kapitolnik (High Jump),$4740000
USA,Darius Carbin (High Jump),$4740000
USA,Marquis Dendy (Long Jump),$4620000
CAN,Django Lovett (High Jump),$4590000
POL,Piotr Lisek (Pole Vault),$4500000
JPN,Yuki Hashioka (Long Jump),$4480000
AUS,Brandon Starc (High Jump),$4440000
SYR,Majd Eddin Ghazal (High Jump),$4440000
NOR,Pål Lillefosse (Pole Vault),$4440000
ITA,Marco Fassinotti (High Jump),$4350000
URU,Emiliano Lasa (Long Jump),$4350000
BEL,Ben Broeders (Pole Vault),$4340000
FRA,Valentin Lavillenie (Pole Vault),$4340000
BAH,Donald Thomas (High Jump),$4320000
CHN,Yaming Zhu (Triple Jump),$4320000
ITA,Andrea Dallavalle (Triple Jump),$4230000
USA,Jacob Wooten (Pole Vault),$4220000
MEX,Edgar Rivera (High Jump),$4210000
IND,Jeswin Aldrin Johnson (Long Jump),$4210000
BEL,Thomas Carmoy (High Jump),$4160000
USA,Donald Scott (Triple Jump),$4140000
AUS,Joel Baden (High Jump),$4130000
BRA,Fernando Ferreira (High Jump),$4130000
MAS,Nauraj Randhawa (High Jump),$4130000
ZIM,Chengetayi Mapaya (Triple Jump),$4090000
FRA,Thibaut Collet (Pole Vault),$4070000
NOR,Sondre Guttormsen (Pole Vault),$4070000
POL,Norbert Kobielski (High Jump),$4050000
GRE,Emmanouil Karalis (Pole Vault),$3980000
GER,Oleg Zernikel (Pole Vault),$3980000
JPN,Ryoichi Akamatsu (High Jump),$3970000
