athleteCountryCode,nameAndEvent,price
USA,Sydney McLaughlin (400m Hurdles),$7610000
JAM,Shericka Jackson (200m),$7400000
USA,Kendra Harrison (100m Hurdles),$7130000
PUR,Jasmine Camacho-Quinn (100m Hurdles),$6780000
USA,Alaysha Johnson (100m Hurdles),$6660000
JAM,Shelly-Ann Fraser-Pryce (100m),$6480000
USA,Abby Steiner (200m),$6430000
NGR,Tobi Amusan (100m Hurdles),$6160000
NED,Femke Bol (400m Hurdles),$6010000
JAM,Britany Anderson (100m Hurdles),$5960000
JAM,Elaine Thompson-Herah (200m),$5950000
JAM,Elaine Thompson-Herah (100m),$5930000
JAM,Demisha Roswell (100m Hurdles),$5920000
USA,Nia Ali (100m Hurdles),$5880000
USA,Tamara Clark (200m),$5850000
USA,Tonea Marshall (100m Hurdles),$5810000
NGR,Favour Ofili (200m),$5700000
USA,Alia Armstrong (100m Hurdles),$5690000
USA,Jenna Prandini (200m),$5650000
JAM,Shericka Jackson (100m),$5530000
DOM,Marileidy Paulino (400m),$5520000
BAH,Shaunae Miller-Uibo (400m),$5450000
JAM,Shelly-Ann Fraser-Pryce (200m),$5440000
JAM,Danielle Williams (100m Hurdles),$5410000
LCA,Julien Alfred (100m),$5220000
USA,Aleia Hobbs (100m),$5220000
USA,Cambrea Sturgis (200m),$5180000
USA,Melissa Jefferson (100m),$5150000
BAH,Shaunae Miller-Uibo (200m),$5070000
GBR,Dina Asher-Smith (200m),$5040000
SUI,Mujinga Kambundji (200m),$4960000
JAM,Megan Tapper (100m Hurdles),$4930000
NIG,Aminatou Seyni (200m),$4870000
USA,Twanisha Terry (100m),$4820000
JAM,Charokee Young (400m),$4810000
BAH,Devynne Charlton (100m Hurdles),$4800000
GBR,Cindy Sember (100m Hurdles),$4800000
JAM,Kemba Nelson (100m),$4750000
NAM,Beatrice Masilingi (200m),$4720000
SUI,Mujinga Kambundji (100m),$4690000
POL,Pia Skrzyszowska (100m Hurdles),$4680000
CIV,Murielle Ahouré (100m),$4640000
USA,Talitha Diggs (400m),$4640000
USA,Britton Wilson (400m Hurdles),$4620000
TTO,Michelle-Lee Ahye (100m),$4600000
USA,Tamari Davis (100m),$4570000
JAM,Candice McLeod (400m),$4550000
NGR,Rosemary Chukwuma (200m),$4510000
USA,Dalilah Muhammad (400m Hurdles),$4470000
NED,Nadine Visser (100m Hurdles),$4460000
NGR,Favour Ofili (100m),$4450000
JAM,Stephenie McPherson (400m),$4430000
GBR,Dina Asher-Smith (100m),$4420000
POL,Natalia Kaczmarek (400m),$4420000
JAM,Stacey-Ann Williams (400m),$4400000
JAM,Briana Williams (100m),$4390000
CIV,Marie-Josée Ta Lou (100m),$4380000
USA,Kendall Ellis (400m),$4310000
