athleteCountryCode,nameAndEvent,price
USA,Erriyon Knighton (200m),$7750000
USA,Fred Kerley (100m),$7500000
NOR,Karsten Warholm (400m Hurdles),$7500000
USA,Devon Allen (110m Hurdles),$7220000
USA,Trayvon Bromell (100m),$7080000
USA,Noah Lyles (200m),$7040000
JAM,Yohan Blake (100m),$7000000
USA,Michael Norman (400m),$6810000
KEN,Ferdinand Omanyala (100m),$6730000
CHN,Bingtian Su (100m),$6690000
USA,Christian Coleman (100m),$6610000
USA,Marvin Bracy (100m),$6480000
JAM,Oblique Seville (100m),$6370000
USA,Champion Allison (400m),$6360000
USA,Grant Holloway (110m Hurdles),$6170000
USA,Elijah Hall (100m),$5970000
GHA,Benjamin Azamati (100m),$5970000
USA,Trey Cunningham (110m Hurdles),$5900000
JAM,Ackeem Blake (100m),$5780000
GRN,Kirani James (400m),$5780000
USA,Daniel Roberts (110m Hurdles),$5750000
GBR,Reece Prescod (100m),$5690000
BAH,Steven Gardiner (400m),$5650000
GHA,Joseph Amoah (100m),$5600000
USA,Fred Kerley (200m),$5580000
JAM,Hansle Parchment (110m Hurdles),$5580000
USA,Randolph Ross (400m),$5540000
BOT,Letsile Tebogo (100m),$5420000
SRI,Yupun Abeykoon (100m),$5420000
USA,Kenneth Bednarek (200m),$5420000
RSA,Luxolo Adams (200m),$5380000
RSA,Wayde van Niekerk (400m),$5380000
BRA,Alison dos Santos (400m Hurdles),$5380000
USA,Rai Benjamin (400m Hurdles),$5380000
RSA,Akani Simbine (100m),$5360000
ITA,Lamont Jacobs (100m),$5350000
LBR,Joseph Fahnbulleh (200m),$5320000
TTO,Jereem Richards (200m),$5320000
USA,Jamal Britt (110m Hurdles),$5270000
LBR,Emmanuel Matadi (100m),$5240000
USA,Michael Cherry (400m),$5190000
NGR,Favour Oghene Tejiri Ashe (100m),$5160000
CAN,Jerome Blake (100m),$5080000
CIV,Ismael Kone (100m),$5080000
JAM,Jelani Walker (100m),$5080000
CAN,André De Grasse (100m),$5060000
GBR,Zharnel Hughes (100m),$5010000
BAH,Samson Colebrooke (100m),$5000000
ANT,Cejhae Greene (100m),$4960000
NGR,Raymond Ekevwo (100m),$4950000
USA,Elija Godwin (400m),$4930000
JPN,Abdul Brown (100m),$4920000
CIV,Arthur Cissé (100m),$4910000
JPN,Ryuichiro Sakai (100m),$4910000
GBR,Matthew Hudson-Smith (400m),$4910000
TTO,Jerod Elcock (100m),$4840000
BAH,Terrance Jones (100m),$4840000
NGR,Udodi Onwuzurike (100m),$4840000
JAM,Yohan Blake (200m),$4830000
JPN,Shunsuke Izumiya (110m Hurdles),$4790000
CAN,Aaron Brown (100m),$4780000
USA,Josephus Lyles (200m),$4770000
BRA,Rodrigo do Nascimento (100m),$4760000
RSA,Clarence Munyai (100m),$4760000
BAR,Jonathan Jones (400m),$4760000
BRA,Rafael Pereira (110m Hurdles),$4760000
FRA,Sasha Zhoya (110m Hurdles),$4760000
JAM,Rasheed Broadbell (110m Hurdles),$4760000
GBR,Joshua Zeller (110m Hurdles),$4650000
AUS,Rohan Browning (100m),$4610000
RSA,Gift Leotlela (100m),$4560000
QAT,Femi Ogunode (200m),$4560000
BRA,Felipe Bardi (100m),$4530000
SUI,Jason Joseph (110m Hurdles),$4530000
BRA,Gabriel Constantino (110m Hurdles),$4500000
RSA,Henricho Bruintjies (100m),$4440000
BRA,Erik Cardoso (100m),$4410000
CAN,Aaron Brown (200m),$4380000
DOM,Lidio Feliz (400m),$4370000
BOT,Isaac Makwala (400m),$4370000
GBR,Andrew Pozzi (110m Hurdles),$4370000
GBR,Nethaneel Mitchell-Blake (200m),$4320000
POL,Damian Czykier (110m Hurdles),$4310000
DOM,Alexander Ogando (200m),$4270000
CUB,Shainer Rengifo Montoya (100m),$4250000
CAN,Jerome Blake (200m),$4220000
ESP,Asier Martínez (110m Hurdles),$4210000
GER,Julian Wagner (100m),$4200000
BRA,Eduardo Rodrigues (110m Hurdles),$4200000
FRA,Just Kwaou-Mathey (110m Hurdles),$4200000
JAM,Orlando Bennett (110m Hurdles),$4200000
JPN,Rachid Muratake (110m Hurdles),$4200000
CHN,Zhenye Xie (200m),$4150000
JAM,Damion Thomas (110m Hurdles),$4120000
DOM,Luguelín Santos (400m),$4100000
USA,Trevor Bassitt (400m Hurdles),$4090000
CYP,Milan Trajkovic (110m Hurdles),$4050000
FRA,Pascal Martinot-Lagarde (110m Hurdles),$4050000
NGR,Udodi Onwuzurike (200m),$4040000
JAM,Jevaughn Powell (400m),$3990000
GAM,Ebrahima Camara (100m),$3980000
ITA,Chituru Ali (100m),$3980000
BOT,Bayapo Ndori (400m),$3980000
GBR,Adam Gemili (200m),$3970000
JAM,Akeem Bloomfield (200m),$3960000
JAM,Nathon Allen (400m),$3960000
CHN,Xie Wenjun (110m Hurdles),$3960000
RSA,Zakhiti Nene (400m),$3910000
NZL,Edward Osei-Nketia (100m),$3860000
BEL,Kevin Borlée (400m),$3850000
BAR,Shane Brathwaite (110m Hurdles),$3830000
USA,Khallifah Rosser (400m Hurdles),$3810000
AUS,Jake Doran (100m),$3800000
GUY,Emanuel Archibald (100m),$3790000
ITA,Filippo Tortu (200m),$3790000
RSA,Clarence Munyai (200m),$3790000
LBR,Wellington Zaza (110m Hurdles),$3750000
TUR,Mikdat Sevler (110m Hurdles),$3750000
RSA,Antonio Alkana (110m Hurdles),$3740000
CAN,André De Grasse (200m),$3730000
NED,Liemarvin Bonevacia (400m),$3660000
ALG,Amine Bouanani (110m Hurdles),$3660000
JPN,Shuhei Ishikawa (110m Hurdles),$3640000
TTO,Eric Harrison Jr. (200m),$3620000
JAM,Rasheed Dwyer (200m),$3600000
CAN,Brendon Rodney (200m),$3570000
TTO,Dwight St. Hillaire (400m),$3560000
EST,Rasmus Mägi (400m Hurdles),$3560000
BEL,Dylan Borlée (400m),$3530000
AUS,Steven Solomon (400m),$3530000
CZE,Petr Svoboda (110m Hurdles),$3520000
TGA,Nehumi Tuihalamaka (100m),$3500000
PLW,Ignacio Blaluk (100m),$3500000
ANG,Marcos Santos (200m),$3500000
AUS,Nicholas Hough (110m Hurdles),$3500000
RSA,Shaun Maswanganyi (200m),$3490000
ESP,Enrique Llopis (110m Hurdles),$3490000
JPN,Julian Walsh (400m),$3460000
GBR,Joe Ferguson (200m),$3420000
PAN,Alonso Edward (200m),$3420000
JAM,Christopher Taylor (400m),$3420000
IRL,Christopher O'Donnell (400m),$3420000
GBR,David King (110m Hurdles),$3420000
TPE,Kuei-Ru Chen (110m Hurdles),$3370000
BOT,Anthony Pesela (400m),$3350000
ZAM,Muzala Samukonga (400m),$3350000
FRA,Mouhamadou Fall (200m),$3310000
BEL,Alexander Doom (400m),$3280000
JPN,Shota Iizuka (200m),$3270000
BOT,Isaac Makwala (200m),$3240000
JPN,Fuga Sato (400m),$3230000
FIN,Elmo Lakka (110m Hurdles),$3230000
DOM,Yancarlos Martínez (200m),$3160000
IVB,Kyron Mcmaster (400m Hurdles),$3150000
TUR,Yasmani Copello (400m Hurdles),$3150000
UGA,Tarsis Gracious Orogot (200m),$3100000
ITA,Davide Re (400m),$3100000
USA,CJ Allen (400m Hurdles),$3100000
DEN,Benjamin Vedel (400m),$3080000
TUN,Mohamed Fares Jelassi (400m),$3060000
GER,Gregor Traber (110m Hurdles),$3050000
ITA,Edoardo Scotti (400m),$3040000
BRA,Lucas Rodrigues Da Silva (200m),$3030000
RSA,Sinesipho Dambile (200m),$3030000
SUI,Ricky Petrucciani (400m),$3030000
CAY,Rasheem Brown (110m Hurdles),$3030000
MEX,Luis Avilés Ferreiro (400m),$3020000
SRB,Boško Kijanović (400m),$2990000
BRA,Lucas Carvalho (400m),$2970000
POL,Kajetan Duszyński (400m),$2940000
GBR,Alex Haydock-Wilson (400m),$2910000
CZE,Patrik Šorm (400m),$2900000
JPN,Yuki Koike (200m),$2870000
GER,Owen Ansah (200m),$2860000
AUS,Alex Beck (400m),$2840000
ITA,Eseosa Desalu (200m),$2830000
JPN,Kaito Kawabata (400m),$2830000
JAM,Jaheel Hyde (400m Hurdles),$2820000
AUS,Aidan Murphy (200m),$2810000
NGR,Ezekiel Nathaniel (400m Hurdles),$2810000
TJK,Ildar Akhmadiev (100m),$2780000
GHA,Joseph Amoah (200m),$2770000
KAZ,Mikhail Litvin (400m),$2740000
JAM,Kemar Mowatt (400m Hurdles),$2700000
SWE,Carl Bengtström (400m Hurdles),$2700000
IRQ,Hussein Ali Al Khafaji (100m),$2690000
BAN,Imranur Rahman (100m),$2660000
JPN,Koki Ueyama (200m),$2650000
FRA,Wilfried Happio (400m Hurdles),$2650000
ART,Dorian Keletela (100m),$2610000
AUS,Chris Douglas (110m Hurdles),$2600000
PAR,Cesar Almiron (100m),$2590000
SEN,Louis Mendy (110m Hurdles),$2590000
INA,Lalu Zohri (100m),$2560000
CUB,Shainer Rengifo Montoya (200m),$2510000
DEN,Simon Hansen (200m),$2490000
ALG,Abdelmalik Lahoulou (400m Hurdles),$2490000
COM,Hachim Maaroufou (200m),$2480000
CMR,Emmanuel Eseme (200m),$2470000
FIJ,Ratu Tabakaucoro (100m),$2440000
KEN,Moitalel Naadokila (400m Hurdles),$2420000
KUW,Yaqoub Al-Youha (110m Hurdles),$2400000
JPN,Kazuki Kurokawa (400m Hurdles),$2390000
SMR,Francesco Sansovini (100m),$2370000
CGO,Gilles-Anthony Afoumba (400m),$2350000
CRC,Gerald Drummond (400m Hurdles),$2350000
CZE,Jan Jirka (200m),$2340000
GBR,Alastair Chalmers (400m Hurdles),$2340000
ZIM,Tinotenda Matiyenga (200m),$2330000
CAN,Malik Metivier (400m Hurdles),$2330000
SUI,William Reais (200m),$2320000
BEL,Julien Watrin (400m Hurdles),$2320000
COD,Lionel Tshimanga Muteba (100m),$2300000
MRI,Jérémie Lararaudeuse (110m Hurdles),$2300000
GAB,Guy Maganga Gorra (200m),$2280000
ITA,Mario Lambrughi (400m Hurdles),$2220000
AUS,Calab Law (200m),$2200000
RSA,Sokwakhana Zazini (400m Hurdles),$2200000
BRA,Lucas Vilar (200m),$2180000
SWZ,Sibusiso Matsenjwa (200m),$2180000
IRL,Thomas Barr (400m Hurdles),$2180000
NED,Nick Smidt (400m Hurdles),$2130000
BRA,Felipe Bardi (200m),$2090000
NED,Ramsey Angela (400m Hurdles),$2090000
TPE,Chieh Chen (400m Hurdles),$2070000
JAM,Shawn Rowe (400m Hurdles),$2060000
CPV,Jordin Andrade (400m Hurdles),$2030000
LBA,Ahmed Amaar (100m),$2020000
BIZ,Shaun Gill (100m),$2010000
JPN,Takayuki Kishimoto (400m Hurdles),$2000000
DOM,Juander Santos (400m Hurdles),$1980000
GBR,Chris McAlister (400m Hurdles),$1980000
SUI,Julien Bonvin (400m Hurdles),$1980000
QAT,Femi Ogunode (100m),$1970000
CZE,Vít Müller (400m Hurdles),$1820000
LBN,Noureddine Hadid (100m),$1790000
IND,Jabir Madari Pillyalil (400m Hurdles),$1780000
IRI,Mahdi Pirjahan (400m Hurdles),$1760000
MDV,Hassan Saaid (100m),$1590000
SUI,Dany Brand (400m Hurdles),$1580000
HON,Melique Garcia (100m),$1530000
ESA,Pablo Ibañez Guevara (400m Hurdles),$1510000
MLI,Richard Diawara (110m Hurdles),$1500000
NCA,Dexter Mayorga (400m),$1130000
SEY,Ned Azemia (400m Hurdles),$1130000
AIA,Aiden Hazzard (400m),$970000
BRA,Mahau Suguimati (400m Hurdles),$970000
JOR,Omar Aburouss (100m),$950000
FSM,Scott James Fiti (100m),$850000
GUI,Boubacar Barry (100m),$830000
AFG,Said Gilani (100m),$810000
PNG,Terrence Talio (200m),$790000
GIB,Craig Gill (100m),$720000
KIR,Lataisi Mwea (100m),$680000
ASA,Nathan Crumpton (100m),$640000
TUV,Karalo Maibuca (100m),$500000
GUM,Joseph Green (200m),$480000
STP,Esmael dos Ramoes de Freitas (400m),$450000
COK,Tikove Piira (100m),$430000
NRU,Jireh Agege (100m),$390000
VAN,Obediah Timbaci (400m),$210000
BHU,Mipham Gurung (100m),$180000
