athleteCountryCode,nameAndEvent,price
USA,Valarie Allman (Discus Throw),$7790000
USA,Chase Ealey (Shot Put),$7250000
POR,Auriol Dongmo (Shot Put),$6990000
CHN,Jiayuan Song (Shot Put),$6830000
CAN,Sarah Mitton (Shot Put),$6670000
USA,Brooke Andersen (Hammer Throw),$6620000
CHN,Shiying Liu (Javelin Throw),$6150000
USA,Janee' Kassanavoid (Hammer Throw),$6000000
CAN,Camryn Rogers (Hammer Throw),$5820000
CRO,Sandra Perković (Discus Throw),$5800000
USA,Maggie Ewen (Shot Put),$5180000
USA,Maggie Malone (Javelin Throw),$5180000
GER,Christin Hussong (Javelin Throw),$5120000
NED,Jessica Schilder (Shot Put),$5010000
ITA,Sara Fantini (Hammer Throw),$4850000
USA,Adelaide Aquilla (Shot Put),$4830000
POL,Malwina Kopron (Hammer Throw),$4770000
USA,Jessica Ramsey (Shot Put),$4740000
USA,DeAnna Price (Hammer Throw),$4610000
JAM,Danniel Thomas-Dodd (Shot Put),$4600000
GRE,Elina Tzengko (Javelin Throw),$4520000
GER,Kristin Pudenz (Discus Throw),$4470000
CHN,Na Luo (Hammer Throw),$4350000
USA,Jessica Woodard (Shot Put),$4320000
FIN,Krista Tervo (Hammer Throw),$4250000
USA,Kara Winger (Javelin Throw),$4220000
NGR,Annette Echikunwoke (Hammer Throw),$4200000
DEN,Katrine Jacobsen (Hammer Throw),$4180000
NED,Jorinde van Klinken (Discus Throw),$4080000
SWE,Fanny Roos (Shot Put),$4040000
AZE,Hanna Skydan (Hammer Throw),$4030000
NZL,Lauren Bruce (Hammer Throw),$3980000
JPN,Haruka Kitaguchi (Javelin Throw),$3940000
CHN,Bin Feng (Discus Throw),$3880000
ROU,Bianca Florentina Ghelber (Hammer Throw),$3880000
USA,Maggie Ewen (Hammer Throw),$3860000
CUB,Yaimé Pérez (Discus Throw),$3850000
CRO,Sara Kolak (Javelin Throw),$3820000
MDA,Zalina Marghieva (Hammer Throw),$3800000
CAN,Jillian Weir (Hammer Throw),$3760000
NZL,Maddison-Lee Wesche (Shot Put),$3750000
NED,Jorinde van Klinken (Shot Put),$3720000
CZE,Nikola Ogrodníková (Javelin Throw),$3700000
CHN,Jie Zhao (Hammer Throw),$3690000
CHN,Lijiao Gong (Shot Put),$3670000
GER,Sara Gambetta (Shot Put),$3670000
USA,Rachel Dincoff (Discus Throw),$3620000
NZL,Julia Ratcliffe (Hammer Throw),$3610000
FIN,Silja Kosonen (Hammer Throw),$3570000
GER,Shanice Craft (Discus Throw),$3560000
GER,Claudine Vita (Discus Throw),$3510000
IND,Annu Rani (Javelin Throw),$3490000
CAN,Elizabeth Gleadle (Javelin Throw),$3470000
GER,Samantha Borutta (Hammer Throw),$3420000
CHN,Jiangyan Li (Hammer Throw),$3420000
NOR,Beatrice Llano (Hammer Throw),$3410000
GER,Katharina Maisch (Shot Put),$3390000
ESP,Laura Redondo (Hammer Throw),$3370000
LAT,Līna Mūze (Javelin Throw),$3300000
GBR,Sophie McKinna (Shot Put),$3290000
CRO,Marija Tolj (Discus Throw),$3290000
GER,Marike Steinacker (Discus Throw),$3220000
USA,Laulauga Tausaga (Discus Throw),$3200000
AUS,Kelsey-Lee Barber (Javelin Throw),$3200000
POR,Liliana Cá (Discus Throw),$3190000
GRE,Stamatia Scarvelis (Hammer Throw),$3190000
UKR,Iryna Klymets (Hammer Throw),$3170000
AUS,Mackenzie Little (Javelin Throw),$3150000
CHN,Linru Zhang (Shot Put),$3080000
USA,Ariana Ince (Javelin Throw),$3050000
GER,Julia Ritter (Shot Put),$2970000
FRA,Mélina Robert-Michon (Discus Throw),$2950000
AUT,Victoria Hudson (Javelin Throw),$2930000
NZL,Nicole Bradley (Hammer Throw),$2910000
FIN,Suvi Koskinen (Hammer Throw),$2890000
LTU,Liveta Jasiūnaitė (Javelin Throw),$2890000
AUS,Alexandra Hulley (Hammer Throw),$2810000
BRA,Ana Caroline Silva (Shot Put),$2780000
ITA,Daisy Osakue (Discus Throw),$2770000
NZL,Tori Peeters (Javelin Throw),$2770000
PUR,Coralys Ortiz (Javelin Throw),$2730000
BRA,Andressa de Morais (Discus Throw),$2700000
SWE,Axelina Johansson (Shot Put),$2690000
SWE,Grete Ahlberg (Hammer Throw),$2690000
COL,Flor Denis Ruiz Hurtado (Javelin Throw),$2680000
BEL,Vanessa Sterckendries (Hammer Throw),$2670000
BRA,Izabela da Silva (Discus Throw),$2660000
MDA,Dimitriana Bezede (Shot Put),$2620000
CUB,Silinda Morales (Discus Throw),$2580000
GBR,Jade Lally (Discus Throw),$2570000
POR,Irina Rodrigues (Discus Throw),$2530000
GER,Annika Fuchs (Javelin Throw),$2530000
ESP,María Toimil (Shot Put),$2490000
NED,Benthe König (Shot Put),$2470000
POR,Jessica Inchude (Shot Put),$2470000
POL,Maria Andrejczyk (Javelin Throw),$2470000
TUR,Eda Tuğsuz (Javelin Throw),$2460000
GRE,Chrysoula Anagnostopoulou (Discus Throw),$2450000
GBR,Amelia Strickler (Shot Put),$2440000
RSA,Jo-Ane van Dyk (Javelin Throw),$2430000
USA,Veronica Fraley (Discus Throw),$2420000
JAM,Lloydricia Cameron (Shot Put),$2360000
TTO,Portious Warren (Shot Put),$2360000
BRA,Fernanda Martins (Discus Throw),$2360000
JPN,Momone Ueda (Javelin Throw),$2340000
JPN,Sae Takemoto (Javelin Throw),$2320000
MDA,Alexandra Emilianov (Discus Throw),$2230000
NGR,Chioma Onyekwere (Discus Throw),$2220000
BRA,Mariana Marcelino (Hammer Throw),$2220000
ECU,Juleisy Angulo (Javelin Throw),$2170000
AUS,Kathryn Mitchell (Javelin Throw),$2140000
DEN,Lisa Pedersen (Discus Throw),$2130000
NGR,Oyesade Olatoye (Hammer Throw),$2080000
CHN,Huihui Lyu (Javelin Throw),$2060000
BRA,Jucilene Sales de Lima (Javelin Throw),$2040000
LAT,Madara Palameika (Javelin Throw),$2010000
BRA,Livia Avancini (Shot Put),$1990000
CUB,Yiselena Ballar Rojas (Javelin Throw),$1970000
LTU,Ieva Zarankaitė (Discus Throw),$1940000
FIN,Salla Sipponen (Discus Throw),$1940000
FIN,Sanne Erkkola (Javelin Throw),$1930000
CHI,Karen Gallardo (Discus Throw),$1880000
CHI,Ivana Xennia Gallardo (Shot Put),$1760000
JAM,Samantha Hall (Discus Throw),$1690000
CAN,Trinity Tutti (Discus Throw),$1670000
RSA,Ischke Senekal (Shot Put),$1250000
