athleteCountryCode,nameAndEvent,price
SWE,Daniel Ståhl (Discus Throw),$7760000
SLO,Kristjan Čeh (Discus Throw),$7320000
GRN,Anderson Peters (Javelin Throw),$7280000
USA,Ryan Crouser (Shot Put),$6780000
POL,Wojciech Nowicki (Hammer Throw),$6610000
POL,Paweł Fajdek (Hammer Throw),$6390000
NOR,Eivind Henriksen (Hammer Throw),$5720000
FRA,Quentin Bigot (Hammer Throw),$5700000
USA,Joe Kovacs (Shot Put),$5670000
LTU,Mykolas Alekna (Discus Throw),$5570000
USA,Rudy Winkler (Hammer Throw),$5470000
USA,Daniel Haugh (Hammer Throw),$5460000
CZE,Jakub Vadlejch (Javelin Throw),$5430000
HUN,Bence Halász (Hammer Throw),$5270000
LTU,Andrius Gudžius (Discus Throw),$5210000
AUT,Lukas Weisshaidinger (Discus Throw),$4890000
IND,Neeraj Chopra (Javelin Throw),$4790000
UKR,Mykhaylo Kokhan (Hammer Throw),$4730000
FIN,Oliver Helander (Javelin Throw),$4720000
BRA,Darlan Romani (Shot Put),$4700000
GER,Julian Weber (Javelin Throw),$4540000
NZL,Tom Walsh (Shot Put),$4520000
USA,Sam Mattis (Discus Throw),$4520000
MEX,Diego del Real (Hammer Throw),$4460000
TTO,Keshorn Walcott (Javelin Throw),$4450000
GRE,Christos Frantzeskakis (Hammer Throw),$4340000
MDA,Serghei Marghiev (Hammer Throw),$4340000
USA,Sean Donnelly (Hammer Throw),$4290000
CHI,Gabriel Kehr (Hammer Throw),$4110000
GER,Andreas Hofmann (Javelin Throw),$4080000
ESP,Javier Cienfuegos (Hammer Throw),$4070000
CAN,Adam Keenan (Hammer Throw),$4050000
GRE,Michail Anastasakis (Hammer Throw),$4000000
USA,Alex Young (Hammer Throw),$4000000
FRA,Yann Chaussinand (Hammer Throw),$3960000
GBR,Nick Miller (Hammer Throw),$3820000
POL,Marcin Wrotyński (Hammer Throw),$3820000
SWE,Ragnar Carlsson (Hammer Throw),$3810000
CHI,Humberto Mansilla (Hammer Throw),$3670000
JAM,Fedrick Dacres (Discus Throw),$3560000
FIN,Aaron Kangas (Hammer Throw),$3500000
POL,Konrad Bukowiecki (Shot Put),$3440000
CAN,Rowan Hamilton (Hammer Throw),$3400000
ISL,Hilmar Jónsson (Hammer Throw),$3400000
AUS,Matthew Denny (Discus Throw),$3340000
CHI,Claudio Romero (Discus Throw),$3310000
SWE,Simon Pettersson (Discus Throw),$3300000
GER,Tristan Schwandke (Hammer Throw),$3290000
NED,Denzel Comenentia (Hammer Throw),$3290000
JAM,Traves Smikle (Discus Throw),$3260000
SAM,Alex Rose (Discus Throw),$3240000
EGY,Mostafa Elgamel (Hammer Throw),$3220000
NOR,Thomas Mardal (Hammer Throw),$3180000
CRO,Filip Mihaljević (Shot Put),$3170000
FIN,Tuomas Seppänen (Hammer Throw),$3160000
USA,Andrew Evans (Discus Throw),$3140000
ITA,Nick Ponzio (Shot Put),$3100000
CZE,Vítězslav Veselý (Javelin Throw),$3100000
USA,Josh Awotunde (Shot Put),$3080000
GER,Martin Wierig (Discus Throw),$3010000
PAK,Arshad Nadeem (Javelin Throw),$2980000
ARG,Joaquín Gómez (Hammer Throw),$2970000
GBR,Lawrence Okoye (Discus Throw),$2900000
GER,Henrik Janssen (Discus Throw),$2860000
GER,Torben Brandt (Discus Throw),$2830000
USA,Brian Williams (Discus Throw),$2810000
BRA,Allan Wolski (Hammer Throw),$2790000
USA,Adrian Piperi (Shot Put),$2760000
NZL,Jacko Gill (Shot Put),$2690000
CYP,Apostolos Parellis (Discus Throw),$2620000
EGY,Ihab Abdelrahman (Javelin Throw),$2620000
POL,Michał Haratyk (Shot Put),$2590000
MDA,Andrian Mardare (Javelin Throw),$2590000
ROU,Alin Firfirica (Discus Throw),$2570000
USA,Roger Steen (Shot Put),$2520000
NGR,Chukwuebuka Enekwechi (Shot Put),$2450000
EGY,Mohamed Hamza (Shot Put),$2410000
BEL,Philip Milanov (Discus Throw),$2400000
POR,Leandro Ramos (Javelin Throw),$2400000
CUB,Mario A. Díaz (Discus Throw),$2360000
GBR,Nicholas Percy (Discus Throw),$2270000
KEN,Julius Yego (Javelin Throw),$2240000
COL,Mauricio Ortega (Discus Throw),$2220000
UKR,Roman Kokoshko (Shot Put),$2200000
ROU,Alexandru Novac (Javelin Throw),$2170000
SWE,Kim Amb (Javelin Throw),$2150000
RSA,Victor Hogan (Discus Throw),$2140000
ROU,Andrei Toader (Shot Put),$2080000
CHI,Lucas Nervi (Discus Throw),$2080000
LAT,Patriks Gailums (Javelin Throw),$2070000
MEX,Uziel Muñoz (Shot Put),$2000000
JAM,Chad Wright (Discus Throw),$1980000
FIN,Lassi Etelätalo (Javelin Throw),$1980000
ESP,Manu Quijera (Javelin Throw),$1970000
GBR,Scott Lincoln (Shot Put),$1960000
USA,Tim Glover (Javelin Throw),$1940000
ITA,Leonardo Fabbri (Shot Put),$1920000
NOR,Marcus Thomsen (Shot Put),$1870000
FIN,Toni Keränen (Javelin Throw),$1870000
USA,Ethan Dabbs (Javelin Throw),$1870000
JPN,Roderick Genki Dean (Javelin Throw),$1850000
CZE,Marek Bárta (Discus Throw),$1840000
IND,Rohit Yadav (Javelin Throw),$1780000
IRI,Ehsan Hadadi (Discus Throw),$1740000
BRA,Welington Morais (Shot Put),$1700000
POR,Tsanko Arnaudov (Shot Put),$1690000
LAT,Rolands Štrobinders (Javelin Throw),$1690000
FIN,Toni Kuusela (Javelin Throw),$1690000
USA,Curtis Thompson (Javelin Throw),$1670000
CRO,Martin Marković (Discus Throw),$1660000
AUS,Cameron McEntyre (Javelin Throw),$1650000
IND,Tajinderpal Singh Toor (Shot Put),$1610000
MEX,David Carreon (Javelin Throw),$1590000
CGO,Franck Elemba (Shot Put),$1520000
BRA,Willian Dourado (Shot Put),$1460000
ESP,Carlos Tobalina (Shot Put),$1390000
JPN,Kenji Ogura (Javelin Throw),$1380000
GER,Simon Bayer (Shot Put),$1370000
RSA,Werner Visser (Discus Throw),$1260000
IRL,Eric Favors (Shot Put),$1220000
IRL,John Kelly (Shot Put),$1190000
RSA,Johan Grobler (Javelin Throw),$1190000
NGR,Dotun Ogundeji (Shot Put),$1170000
GRE,Nicholas Scarvelis (Shot Put),$1150000
AUS,Cruz Hogan (Javelin Throw),$1150000
ARG,Ignacio Carballo (Shot Put),$1110000
GRE,Anastasios Latifllari (Shot Put),$1040000
USA,Michael Shuey (Javelin Throw),$1020000
